# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -480 -60 0 0.0848993 0.0783685 -0.294139 0 0 0 
-520 -480 -50 0 0.0720264 0.0664859 -0.302196 0 0 0 
-520 -480 -40 0 0.0585079 0.0540073 -0.309058 0 0 0 
-520 -480 -30 0 0.0443951 0.0409801 -0.314476 0 0 0 
-520 -480 -20 0 0.0298365 0.0275414 -0.318377 0 0 0 
-520 -480 -10 0 0.014995 0.0138415 -0.320801 0 0 0 
-520 -480 0 0 0 0 -0.321706 0 0 0 
-520 -480 10 0 -0.014995 -0.0138415 -0.320801 0 0 0 
-520 -480 20 0 -0.0298365 -0.0275414 -0.318377 0 0 0 
-520 -480 30 0 -0.0443951 -0.0409801 -0.314476 0 0 0 
-520 -480 40 0 -0.0585079 -0.0540073 -0.309058 0 0 0 
-520 -480 50 0 -0.0720264 -0.0664859 -0.302196 0 0 0 
-520 -480 60 0 -0.0848993 -0.0783685 -0.294139 0 0 0 
-520 -480 70 0 -0.0970444 -0.0895795 -0.285007 0 0 0 
-520 -480 80 0 -0.108265 -0.0999366 -0.274805 0 0 0 
-520 -480 90 0 -0.118607 -0.109483 -0.263811 0 0 0 
-520 -480 100 0 -0.128062 -0.118211 -0.252184 0 0 0 
-520 -470 -100 0 0.136744 0.123596 -0.260552 0 0 0 
-520 -470 -90 0 0.126806 0.114613 -0.273082 0 0 0 
-520 -470 -80 0 0.115885 0.104742 -0.284958 0 0 0 
-520 -470 -70 0 0.103989 0.0939898 -0.296002 0 0 0 
-520 -470 -60 0 0.0910607 0.0823049 -0.305908 0 0 0 
-520 -470 -50 0 0.0773187 0.0698842 -0.314663 0 0 0 
-520 -470 -40 0 0.0628525 0.056809 -0.322131 0 0 0 
-520 -470 -30 0 0.0477185 0.0431302 -0.328035 0 0 0 
-520 -470 -20 0 0.0320826 0.0289977 -0.33229 0 0 0 
-520 -470 -10 0 0.0161279 0.0145771 -0.334935 0 0 0 
-520 -470 0 0 0 0 -0.335923 0 0 0 
-520 -470 10 0 -0.0161279 -0.0145771 -0.334935 0 0 0 
-520 -470 20 0 -0.0320826 -0.0289977 -0.33229 0 0 0 
-520 -470 30 0 -0.0477185 -0.0431302 -0.328035 0 0 0 
-520 -470 40 0 -0.0628525 -0.056809 -0.322131 0 0 0 
-520 -470 50 0 -0.0773187 -0.0698842 -0.314663 0 0 0 
-520 -470 60 0 -0.0910607 -0.0823049 -0.305908 0 0 0 
-520 -470 70 0 -0.103989 -0.0939898 -0.296002 0 0 0 
-520 -470 80 0 -0.115885 -0.104742 -0.284958 0 0 0 
-520 -470 90 0 -0.126806 -0.114613 -0.273082 0 0 0 
-520 -470 100 0 -0.136744 -0.123596 -0.260552 0 0 0 
