# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -520 -100 0 0.0907824 0.0950295 -0.225856 0 0 0 
-520 -520 -90 0 0.0827139 0.0870516 -0.234191 0 0 0 
-520 -520 -80 0 0.074071 0.0784931 -0.241944 0 0 0 
-520 -520 -70 0 0.0648235 0.0693209 -0.248927 0 0 0 
-520 -520 -60 0 0.0550646 0.0596282 -0.255097 0 0 0 
-520 -520 -50 0 0.0448723 0.0494931 -0.260413 0 0 0 
-520 -520 -40 0 0.0342998 0.0389676 -0.264779 0 0 0 
-520 -520 -30 0 0.0233941 0.0280956 -0.268003 0 0 0 
-520 -520 -20 0 0.0122812 0.0170055 -0.270186 0 0 0 
-520 -520 -10 0 0.0010409 0.00577677 -0.271298 0 0 0 
-520 -520 0 0 -0.0102368 -0.00550285 -0.271209 0 0 0 
-520 -520 10 0 -0.0214505 -0.0167313 -0.269951 0 0 0 
-520 -520 20 0 -0.0325179 -0.0278247 -0.267624 0 0 0 
-520 -520 30 0 -0.0433596 -0.0387033 -0.264258 0 0 0 
-520 -520 40 0 -0.0538305 -0.0492246 -0.259734 0 0 0 
-520 -520 50 0 -0.0639131 -0.0593672 -0.254293 0 0 0 
-520 -520 60 0 -0.0735481 -0.069071 -0.248003 0 0 0 
-520 -520 70 0 -0.0826406 -0.0782416 -0.240891 0 0 0 
-520 -520 80 0 -0.0911283 -0.0868158 -0.233043 0 0 0 
-520 -520 90 0 -0.0990389 -0.0948189 -0.224624 0 0 0 
-520 -520 100 0 -0.106345 -0.102223 -0.215716 0 0 0 
-520 -510 -100 0 0.0970677 0.0996052 -0.233652 0 0 0 
-520 -510 -90 0 0.088548 0.0913479 -0.242636 0 0 0 
-520 -510 -80 0 0.0793919 0.0824597 -0.251008 0 0 0 
-520 -510 -70 0 0.0695715 0.0729105 -0.258573 0 0 0 
-520 -510 -60 0 0.0591727 0.062784 -0.265259 0 0 0 
-520 -510 -50 0 0.0482898 0.052173 -0.271027 0 0 0 
-520 -510 -40 0 0.0369857 0.041138 -0.275786 0 0 0 
-520 -510 -30 0 0.0253027 0.0297167 -0.279293 0 0 0 
-520 -510 -20 0 0.013387 0.0180551 -0.28167 0 0 0 
-520 -510 -10 0 0.0013281 0.00624076 -0.282884 0 0 0 
-520 -510 0 0 -0.0107743 -0.00563068 -0.282809 0 0 0 
-520 -510 10 0 -0.0228051 -0.0174462 -0.281445 0 0 0 
