# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -480 -60 0 -0.116098 0.101271 -0.276284 0 0 0 
-520 -480 -50 0 -0.128778 0.0893561 -0.276513 0 0 0 
-520 -480 -40 0 -0.141153 0.0771683 -0.275522 0 0 0 
-520 -480 -30 0 -0.153118 0.0648177 -0.273324 0 0 0 
-520 -480 -20 0 -0.164573 0.0524147 -0.269953 0 0 0 
-520 -480 -10 0 -0.175431 0.0400675 -0.265461 0 0 0 
-520 -480 0 0 -0.185615 0.0278801 -0.259915 0 0 0 
-520 -480 10 0 -0.195086 0.0159412 -0.253413 0 0 0 
-520 -480 20 0 -0.203768 0.00434638 -0.246023 0 0 0 
-520 -480 30 0 -0.211623 -0.00682463 -0.237846 0 0 0 
-520 -480 40 0 -0.21863 -0.0175034 -0.228987 0 0 0 
-520 -480 50 0 -0.22478 -0.0276336 -0.219555 0 0 0 
-520 -480 60 0 -0.230078 -0.037171 -0.209658 0 0 0 
-520 -480 70 0 -0.234537 -0.0460832 -0.199402 0 0 0 
-520 -480 80 0 -0.238182 -0.0543489 -0.188887 0 0 0 
-520 -480 90 0 -0.241045 -0.0619571 -0.178208 0 0 0 
-520 -480 100 0 -0.243138 -0.0688813 -0.167458 0 0 0 
-520 -470 -100 0 -0.0605077 0.156339 -0.273575 0 0 0 
-520 -470 -90 0 -0.0741679 0.146171 -0.279035 0 0 0 
-520 -470 -80 0 -0.0880147 0.135288 -0.283345 0 0 0 
-520 -470 -70 0 -0.101927 0.123774 -0.286432 0 0 0 
-520 -470 -60 0 -0.115779 0.111724 -0.288242 0 0 0 
-520 -470 -50 0 -0.12953 0.099271 -0.288886 0 0 0 
-520 -470 -40 0 -0.142992 0.0864748 -0.288201 0 0 0 
-520 -470 -30 0 -0.155981 0.0734556 -0.286121 0 0 0 
-520 -470 -20 0 -0.168414 0.0603501 -0.282736 0 0 0 
-520 -470 -10 0 -0.180204 0.0472804 -0.278121 0 0 0 
-520 -470 0 0 -0.191264 0.0343623 -0.272349 0 0 0 
-520 -470 10 0 -0.201522 0.0217042 -0.26551 0 0 0 
-520 -470 20 0 -0.210922 0.00940443 -0.257706 0 0 0 
-520 -470 30 0 -0.219524 -0.00250012 -0.249096 0 0 0 
-520 -470 40 0 -0.227194 -0.01389 -0.239726 0 0 0 
-520 -470 50 0 -0.233919 -0.0246997 -0.229717 0 0 0 
-520 -470 60 0 -0.239658 -0.0348452 -0.219184 0 0 0 
-520 -470 70 0 -0.24444 -0.0442937 -0.20826 0 0 0 
-520 -470 80 0 -0.248331 -0.053046 -0.197063 0 0 0 
-520 -470 90 0 -0.251368 -0.0610905 -0.1857 0 0 0 
-520 -470 100 0 -0.253594 -0.0684261 -0.174264 0 0 0 
-520 -460 -100 0 -0.0554685 0.169088 -0.283442 0 0 0 
-520 -460 -90 0 -0.0700838 0.158745 -0.289761 0 0 0 
-520 -460 -80 0 -0.0849669 0.147583 -0.29486 0 0 0 
-520 -460 -70 0 -0.0999482 0.135648 -0.298557 0 0 0 
-520 -460 -60 0 -0.1149 0.12309 -0.300862 0 0 0 
-520 -460 -50 0 -0.129682 0.11003 -0.301747 0 0 0 
-520 -460 -40 0 -0.144227 0.0966052 -0.301301 0 0 0 
-520 -460 -30 0 -0.158368 0.0829111 -0.299449 0 0 0 
-520 -460 -20 0 -0.17195 0.0690737 -0.296178 0 0 0 
-520 -460 -10 0 -0.184854 0.0552277 -0.291545 0 0 0 
-520 -460 0 0 -0.196976 0.0415038 -0.285625 0 0 0 
-520 -460 10 0 -0.208229 0.0280254 -0.278515 0 0 0 
-520 -460 20 0 -0.218478 0.0149347 -0.270289 0 0 0 
-520 -460 30 0 -0.227706 0.00232723 -0.261105 0 0 0 
-520 -460 40 0 -0.235919 -0.00972476 -0.251114 0 0 0 
-520 -460 50 0 -0.243183 -0.0211978 -0.240473 0 0 0 
-520 -460 60 0 -0.249429 -0.0320028 -0.229279 0 0 0 
-520 -460 70 0 -0.254659 -0.0420884 -0.217657 0 0 0 
-520 -460 80 0 -0.258904 -0.0514268 -0.205733 0 0 0 
-520 -460 90 0 -0.262205 -0.0600035 -0.193626 0 0 0 
-520 -460 100 0 -0.264611 -0.0678156 -0.181442 0 0 0 
-520 -450 -100 0 -0.049419 0.182624 -0.293411 0 0 0 
-520 -450 -90 0 -0.0650129 0.172095 -0.300586 0 0 0 
-520 -450 -80 0 -0.0809511 0.160647 -0.306467 0 0 0 
-520 -450 -70 0 -0.0970853 0.148368 -0.310948 0 0 0 
-520 -450 -60 0 -0.113259 0.135363 -0.313944 0 0 0 
-520 -450 -50 0 -0.12931 0.121751 -0.315399 0 0 0 
-520 -450 -40 0 -0.145078 0.107666 -0.315283 0 0 0 
-520 -450 -30 0 -0.160437 0.0932538 -0.313636 0 0 0 
-520 -450 -20 0 -0.175224 0.0786483 -0.310451 0 0 0 
-520 -450 -10 0 -0.189267 0.0639976 -0.305744 0 0 0 
-520 -450 0 0 -0.202466 0.0494493 -0.299621 0 0 0 
-520 -450 10 0 -0.214719 0.0351414 -0.292188 0 0 0 
-520 -450 20 0 -0.225947 0.0212014 -0.283567 0 0 0 
-520 -450 30 0 -0.236092 0.00774246 -0.273896 0 0 0 
-520 -450 40 0 -0.245117 -0.00513751 -0.26332 0 0 0 
-520 -450 50 0 -0.253007 -0.0173576 -0.251989 0 0 0 
-520 -450 60 0 -0.259765 -0.028854 -0.240052 0 0 0 
-520 -450 70 0 -0.265358 -0.0395421 -0.227652 0 0 0 
-520 -450 80 0 -0.269903 -0.0494433 -0.214945 0 0 0 
-520 -450 90 0 -0.273422 -0.0585294 -0.202049 0 0 0 
-520 -450 100 0 -0.275963 -0.0667928 -0.189085 0 0 0 
-520 -440 -100 0 -0.0422569 0.196986 -0.30348 0 0 0 
-520 -440 -90 0 -0.0588782 0.186345 -0.31165 0 0 0 
-520 -440 -80 0 -0.075957 0.174721 -0.318536 0 0 0 
-520 -440 -70 0 -0.0933332 0.162138 -0.323936 0 0 0 
-520 -440 -60 0 -0.110789 0.148657 -0.327628 0 0 0 
-520 -440 -50 0 -0.128157 0.134464 -0.329634 0 0 0 
-520 -440 -40 0 -0.14526 0.119711 -0.329926 0 0 0 
-520 -440 -30 0 -0.161917 0.104552 -0.328497 0 0 0 
-520 -440 -20 0 -0.177961 0.0891494 -0.325375 0 0 0 
-520 -440 -10 0 -0.193298 0.0736593 -0.320678 0 0 0 
-520 -440 0 0 -0.207792 0.0582236 -0.314469 0 0 0 
-520 -440 10 0 -0.221269 0.042998 -0.306795 0 0 0 
-520 -440 20 0 -0.233629 0.0281284 -0.29779 0 0 0 
-520 -440 30 0 -0.244721 0.0137817 -0.287565 0 0 0 
-520 -440 40 0 -0.254542 6.42483e-05 -0.276323 0 0 0 
-520 -440 50 0 -0.26311 -0.0129477 -0.264255 0 0 0 
