# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -460 -10 0 -0.250323 -0.120069 -0.180391 0 0 0 
-520 -460 0 0 -0.253045 -0.126165 -0.169192 0 0 0 
-520 -460 10 0 -0.255112 -0.131653 -0.157947 0 0 0 
-520 -460 20 0 -0.25647 -0.136419 -0.146813 0 0 0 
-520 -460 30 0 -0.25727 -0.140651 -0.135731 0 0 0 
-520 -460 40 0 -0.257477 -0.14425 -0.124852 0 0 0 
-520 -460 50 0 -0.257139 -0.147247 -0.114224 0 0 0 
-520 -460 60 0 -0.256353 -0.149755 -0.10382 0 0 0 
-520 -460 70 0 -0.255105 -0.151704 -0.0937724 0 0 0 
-520 -460 80 0 -0.253468 -0.153196 -0.0840254 0 0 0 
-520 -460 90 0 -0.251485 -0.154274 -0.0745881 0 0 0 
-520 -460 100 0 -0.249172 -0.154909 -0.0655526 0 0 0 
-520 -450 -100 0 -0.198196 -0.0332869 -0.277534 0 0 0 
-520 -450 -90 0 -0.208698 -0.0453965 -0.270307 0 0 0 
-520 -450 -80 0 -0.218411 -0.0570845 -0.262102 0 0 0 
-520 -450 -70 0 -0.22718 -0.0681731 -0.25302 0 0 0 
-520 -450 -60 0 -0.235193 -0.0787868 -0.243204 0 0 0 
-520 -450 -50 0 -0.242203 -0.0886563 -0.232767 0 0 0 
-520 -450 -40 0 -0.248414 -0.0979452 -0.221808 0 0 0 
-520 -450 -30 0 -0.253733 -0.106522 -0.210455 0 0 0 
-520 -450 -20 0 -0.258135 -0.114317 -0.198842 0 0 0 
-520 -450 -10 0 -0.26182 -0.121526 -0.186986 0 0 0 
-520 -450 0 0 -0.26463 -0.127918 -0.175091 0 0 0 
-520 -450 10 0 -0.266715 -0.133645 -0.163168 0 0 0 
-520 -450 20 0 -0.268099 -0.138694 -0.151315 0 0 0 
-520 -450 30 0 -0.26876 -0.142969 -0.139707 0 0 0 
-520 -450 40 0 -0.268876 -0.146715 -0.128214 0 0 0 
-520 -450 50 0 -0.268405 -0.149813 -0.117017 0 0 0 
-520 -450 60 0 -0.267412 -0.15232 -0.10614 0 0 0 
-520 -450 70 0 -0.265987 -0.154363 -0.0955138 0 0 0 
-520 -450 80 0 -0.264123 -0.155861 -0.0852978 0 0 0 
-520 -450 90 0 -0.261889 -0.156908 -0.0754434 0 0 0 
-520 -450 100 0 -0.25933 -0.157557 -0.0659396 0 0 0 
-520 -440 -100 0 -0.205909 -0.0295519 -0.290188 0 0 0 
