# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -520 -100 0 0.102223 0.106345 -0.215716 0 0 0 
-520 -520 -90 0 0.0948189 0.0990389 -0.224624 0 0 0 
-520 -520 -80 0 0.0868158 0.0911283 -0.233043 0 0 0 
-520 -520 -70 0 0.0782416 0.0826406 -0.240891 0 0 0 
-520 -520 -60 0 0.069071 0.0735481 -0.248003 0 0 0 
-520 -520 -50 0 0.0593672 0.0639131 -0.254293 0 0 0 
-520 -520 -40 0 0.0492246 0.0538305 -0.259734 0 0 0 
-520 -520 -30 0 0.0387033 0.0433596 -0.264258 0 0 0 
-520 -520 -20 0 0.0278247 0.0325179 -0.267624 0 0 0 
-520 -520 -10 0 0.0167313 0.0214505 -0.269951 0 0 0 
-520 -520 0 0 0.00550285 0.0102368 -0.271209 0 0 0 
-520 -520 10 0 -0.00577677 -0.0010409 -0.271298 0 0 0 
-520 -520 20 0 -0.0170055 -0.0122812 -0.270186 0 0 0 
-520 -520 30 0 -0.0280956 -0.0233941 -0.268003 0 0 0 
-520 -520 40 0 -0.0389676 -0.0342998 -0.264779 0 0 0 
-520 -520 50 0 -0.0494931 -0.0448723 -0.260413 0 0 0 
-520 -520 60 0 -0.0596282 -0.0550646 -0.255097 0 0 0 
-520 -520 70 0 -0.0693209 -0.0648235 -0.248927 0 0 0 
-520 -520 80 0 -0.0784931 -0.074071 -0.241944 0 0 0 
-520 -520 90 0 -0.0870516 -0.0827139 -0.234191 0 0 0 
-520 -520 100 0 -0.0950295 -0.0907824 -0.225856 0 0 0 
-520 -510 -100 0 0.109088 0.111177 -0.22276 0 0 0 
-520 -510 -90 0 0.101313 0.103655 -0.232345 0 0 0 
-520 -510 -80 0 0.0928747 0.0954781 -0.241425 0 0 0 
-520 -510 -70 0 0.0837973 0.0866675 -0.2499 0 0 0 
-520 -510 -60 0 0.074055 0.0771962 -0.257593 0 0 0 
-520 -510 -50 0 0.0637183 0.0671321 -0.264407 0 0 0 
-520 -510 -40 0 0.0528912 0.0565776 -0.270311 0 0 0 
-520 -510 -30 0 0.0416401 0.0455969 -0.275226 0 0 0 
-520 -510 -20 0 0.029988 0.0342087 -0.278887 0 0 0 
-520 -510 -10 0 0.0180944 0.0225718 -0.281421 0 0 0 
-520 -510 0 0 0.00604862 0.0107736 -0.282794 0 0 0 
-520 -510 10 0 -0.00605528 -0.00109547 -0.282895 0 0 0 
-520 -510 20 0 -0.0181027 -0.0129235 -0.28169 0 0 0 
-520 -510 30 0 -0.0299951 -0.0246117 -0.279322 0 0 0 
-520 -510 40 0 -0.0416432 -0.0360721 -0.275823 0 0 0 
-520 -510 50 0 -0.0529039 -0.0471665 -0.271087 0 0 0 
-520 -510 60 0 -0.0637284 -0.0578441 -0.265326 0 0 0 
-520 -510 70 0 -0.0740592 -0.0680473 -0.258647 0 0 0 
-520 -510 80 0 -0.0838106 -0.0776916 -0.251099 0 0 0 
-520 -510 90 0 -0.0928805 -0.0866771 -0.242733 0 0 0 
